,start_time,end_time,station_start_name,start_lat,start_long,station_end_name,end_lat,end_long,user_type,time_travel,miles,time_travel_seconds
2018,2017-08-02 16:38:11,2017-08-02 16:49:09,Exchange Place,40.7162469,-74.0334588,McGinley Square,40.7253399253558,-74.06762212514877,member,658,1.9001286464570877,658
27811,2017-08-25 01:54:46,2017-08-25 01:57:54,Jersey & 3rd,40.72333158646436,-74.04595255851744,Brunswick & 6th,40.72601172964625,-74.05038893222809,member,188,0.297389156303216,188
31551,2022-04-24 09:46:46,2022-04-24 11:21:11,Marin Light Rail,40.714584,-74.042817,Marin Light Rail,40.714584,-74.042817,casual,5665,0.0,5665
33658,2022-12-04 16:21:20,2022-12-04 16:22:59,Marin Light Rail,40.714560747,-74.042829156,City Hall,40.7177325,-74.043845,casual,99,0.22526320470893482,99
33405,2022-04-12 16:12:03,2022-04-12 16:14:38,Jersey & 3rd,40.72333158646436,-74.04595255851744,Manila & 1st,40.72165072487999,-74.04288411140442,member,155,0.1984971605491815,155
18030,2022-04-12 21:24:59,2022-04-12 21:31:09,Pershing Field,40.742677141,-74.051788633,Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264,member,370,0.6383452311462973,370
2827,2022-08-06 07:42:11,2022-08-06 07:51:54,Marshall St & 2 St,40.740802,-74.042521,12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268,member,583,1.1832848023844715,583
74977,2022-08-16 15:38:56,2022-08-16 15:40:12,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268,member,76,0.16353803762377878,76
55662,2022-08-11 13:22:57,2022-08-11 13:26:05,Dixon Mills,40.721630142638354,-74.04996782541275,Newark Ave,40.72152515,-74.046304543,member,188,0.19245343318111763,188
47545,2022-04-23 12:05:04,2022-04-23 12:21:10,Grand St,40.71517767732029,-74.03768330812454,Newport PATH,40.7272235,-74.0337589,member,966,0.8563434380338443,966
5447,2022-08-12 17:15:59,2022-08-12 17:31:48,Liberty Light Rail,40.7112423,-74.0557013,Monmouth and 6th,40.72568548362901,-74.04879033565521,casual,949,1.0606060893427283,949
88025,2022-08-16 17:54:09,2022-08-16 18:02:08,McGinley Square,40.725333214,-74.067531824,Bergen Ave & Sip Ave,40.73100888698729,-74.06443700194359,casual,479,0.42399371173549694,479
14930,2022-12-29 11:06:12,2022-12-29 11:14:41,Astor Place,40.71928220070702,-74.07126188278198,Bergen Ave & Sip Ave,40.73100888698729,-74.06443700194359,casual,509,0.8849394644297089,509
17351,2022-12-08 09:05:04,2022-12-08 09:08:03,South Waterfront Walkway - Sinatra Dr & 1 St,40.737331748,-74.02797699,Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991,member,179,0.40363624321544256,179
3113,2017-08-03 13:51:36,2017-08-03 13:59:24,Oakland Ave,40.7376037,-74.0524783,Newark Ave,40.72152515,-74.046304543,member,468,1.1558219893515131,468
16447,2022-01-26 15:55:07,2022-01-26 16:21:25,Glenwood Ave,40.72755146730012,-74.07106071710587,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,casual,1578,1.370783030252175,1578
66075,2022-08-04 15:55:00,2022-08-04 16:02:31,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,Church Sq Park - 5 St & Park Ave,40.74265933273143,-74.03223305940628,casual,451,0.8223619049089685,451
24900,2022-12-28 00:43:37,2022-12-28 00:47:37,11 St & Washington St,40.750071883,-74.027314305,6 St & Grand St,40.7443978330956,-74.03450086712837,casual,240,0.5436225374970712,240
76083,2022-08-15 14:08:44,2022-08-15 14:21:36,Washington St,40.7242941,-74.0354826,Dixon Mills,40.721630142638354,-74.04996782541275,casual,772,0.7823393906092592,772
49961,2022-04-09 11:38:56,2022-04-09 11:52:00,Union St,40.7182113,-74.0836394,Grove St PATH,40.71958611647166,-74.04311746358871,member,784,2.1295423280377612,784
19310,2022-08-11 23:40:03,2022-08-12 00:23:24,Paulus Hook,40.7141454,-74.0335519,Paulus Hook,40.7141454,-74.0335519,casual,2601,0.0,2601
70932,2022-08-16 15:42:03,2022-08-16 15:51:41,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,Hoboken Terminal - River St & Hudson Pl,40.7360676564825,-74.02912706136703,casual,578,1.1922845836721634,578
20916,2017-04-30 15:36:58,2017-04-30 15:45:03,Morris Canal,40.7124188237569,-74.03852552175522,Dixon Mills,40.721630142638354,-74.04996782541275,member,485,0.8745770984512908,485
19333,2022-08-22 19:19:03,2022-08-22 20:02:25,Paulus Hook,40.7141454,-74.0335519,Paulus Hook,40.7141454,-74.0335519,casual,2602,0.0,2602
24166,2022-12-01 08:16:29,2022-12-01 08:26:15,Hamilton Park,40.727595966,-74.044247311,Grove St PATH,40.71958611647166,-74.04311746358871,member,586,0.5558722389234687,586
11752,2022-12-02 15:39:38,2022-12-02 15:42:03,Hoboken Terminal - River St & Hudson Pl,40.7360676564825,-74.02912706136703,Clinton St & Newark St,40.73743,-74.03571,member,145,0.3580760586059376,145
50243,2022-04-28 08:19:21,2022-04-28 08:23:13,Monmouth and 6th,40.72568548362901,-74.04879033565521,Grove St PATH,40.71958611647166,-74.04311746358871,member,232,0.515581922853198,232
51580,2022-08-28 12:13:33,2022-08-28 12:21:37,Lafayette Park,40.71346382669195,-74.06285852193832,City Hall,40.7177325,-74.043845,member,484,1.0408194027940245,484
24285,2022-01-07 01:12:18,2022-01-07 01:18:11,Newport PATH,40.7272235,-74.0337589,Hamilton Park,40.727595966,-74.044247311,member,353,0.5511778702912505,353
38582,2022-08-07 19:01:45,2022-08-07 19:11:33,Liberty Light Rail,40.7112423,-74.0557013,Hilltop,40.7311689,-74.0575736,member,588,1.3784911766671397,588
16712,2017-04-25 08:03:32,2017-04-25 08:15:38,Central Ave,40.7467299,-74.0492509,Newport PATH,40.7272235,-74.0337589,member,726,1.5725319004334297,726
98882,2022-08-18 23:02:43,2022-08-18 23:09:53,Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455,Adams St & 2 St,40.73981372311843,-74.03690412640572,casual,430,0.6215649330363617,430
57157,2022-04-12 19:46:30,2022-04-12 19:49:32,Grove St PATH,40.71958611647166,-74.04311746358871,Dixon Mills,40.721630142638354,-74.04996782541275,member,182,0.38630744170975906,182
